,attraction_name,attraction_link,attraction_rating,attraction_type
64,Fifth Avenue,https://www.tripadvisor.com/Attraction_Review-g60763-d110144-Reviews-Fifth_Avenue-New_York_City_New_York.html,4.5,Points of Interest & Landmarks
65,The Morgan Library & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d107356-Reviews-The_Morgan_Library_Museum-New_York_City_New_York.html,4.5,Specialty Museums
66,Tenement Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d104369-Reviews-Tenement_Museum-New_York_City_New_York.html,4.5,Specialty Museums
67,The Roosevelt Island Tramway,https://www.tripadvisor.com/Attraction_Review-g60763-d548557-Reviews-The_Roosevelt_Island_Tramway-New_York_City_New_York.html,4.5,Tramways
68,Washington Square Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136354-Reviews-Washington_Square_Park-New_York_City_New_York.html,4.5,Parks
69,Hasted Kraeutler Gallery,https://www.tripadvisor.com/Attraction_Review-g60763-d2714621-Reviews-Hasted_Kraeutler_Gallery-New_York_City_New_York.html,5.0,Art Galleries
70,Gulliver's Gate,https://www.tripadvisor.com/Attraction_Review-g60763-d12291624-Reviews-Gulliver_s_Gate-New_York_City_New_York.html,4.5,Science Museums
71,Ground Zero Museum Workshop,https://www.tripadvisor.com/Attraction_Review-g60763-d626630-Reviews-Ground_Zero_Museum_Workshop-New_York_City_New_York.html,5.0,Specialty Museums
72,Flatiron Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104363-Reviews-Flatiron_Building-New_York_City_New_York.html,4.5,Architectural Buildings
73,United Nations Headquarters,https://www.tripadvisor.com/Attraction_Review-g60763-d108686-Reviews-United_Nations_Headquarters-New_York_City_New_York.html,4.0,Historic Sites
74,St. Paul's Chapel,https://www.tripadvisor.com/Attraction_Review-g60763-d105055-Reviews-St_Paul_s_Chapel-New_York_City_New_York.html,4.5,Churches & Cathedrals
75,Battery Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136416-Reviews-Battery_Park-New_York_City_New_York.html,4.0,Parks
76,Harlem,https://www.tripadvisor.com/Attraction_Review-g60763-d143388-Reviews-Harlem-New_York_City_New_York.html,4.0,Neighborhoods
77,Neue Galerie,https://www.tripadvisor.com/Attraction_Review-g60763-d258699-Reviews-Neue_Galerie-New_York_City_New_York.html,4.5,Art Museums
78,Lower Manhattan,https://www.tripadvisor.com/Attraction_Review-g60763-d607078-Reviews-Lower_Manhattan-New_York_City_New_York.html,4.5,Neighborhoods
79,Woolworth Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104368-Reviews-Woolworth_Building-New_York_City_New_York.html,4.5,Architectural Buildings
80,Museum of the City of New York,https://www.tripadvisor.com/Attraction_Review-g60763-d116229-Reviews-Museum_of_the_City_of_New_York-New_York_City_New_York.html,4.0,History Museums
81,West Village,https://www.tripadvisor.com/Attraction_Review-g60763-d5550170-Reviews-West_Village-New_York_City_New_York.html,4.5,Neighborhoods
82,Lincoln Center for the Performing Arts,https://www.tripadvisor.com/Attraction_Review-g60763-d136028-Reviews-Lincoln_Center_for_the_Performing_Arts-New_York_City_New_York.html,4.5,Theaters
83,Apollo Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d136081-Reviews-Apollo_Theater-New_York_City_New_York.html,4.5,Theaters
84,Gershwin Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d505289-Reviews-Gershwin_Theater-New_York_City_New_York.html,4.5,Theaters
85,Cathedral Church of Saint John the Divine,https://www.tripadvisor.com/Attraction_Review-g60763-d136029-Reviews-Cathedral_Church_of_Saint_John_the_Divine-New_York_City_New_York.html,4.5,Sacred & Religious Sites
86,Trinity Church,https://www.tripadvisor.com/Attraction_Review-g60763-d105054-Reviews-Trinity_Church-New_York_City_New_York.html,4.5,Sacred & Religious Sites
87,Majestic Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548873-Reviews-Majestic_Theatre-New_York_City_New_York.html,4.5,Theaters
88,New-York Historical Society Museum & Library,https://www.tripadvisor.com/Attraction_Review-g60763-d136143-Reviews-New_York_Historical_Society_Museum_Library-New_York_City_New_York.html,4.5,Art Museums
89,Brookfield Place - BFPL,https://www.tripadvisor.com/Attraction_Review-g60763-d207715-Reviews-Brookfield_Place_BFPL-New_York_City_New_York.html,4.5,Architectural Buildings
