,attraction_name,attraction_link,attraction_rating,attraction_type,attraction_rank,attraction_duration,attraction_lat,attraction_lng
54,SoHo,https://www.tripadvisor.com/Attraction_Review-g60763-d143362-Reviews-SoHo-New_York_City_New_York.html,4.5,Neighborhoods,55,1.0,40.723301,-74.0029883
55,The Morgan Library & Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d107356-Reviews-The_Morgan_Library_Museum-New_York_City_New_York.html,4.5,Museum,56,1.5,40.7492258,-73.9813971
56,Washington Square Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136354-Reviews-Washington_Square_Park-New_York_City_New_York.html,4.5,Parks,57,0.5,40.7308228,-73.997332
57,Ground Zero Museum Workshop,https://www.tripadvisor.com/Attraction_Review-g60763-d626630-Reviews-Ground_Zero_Museum_Workshop-New_York_City_New_York.html,5.0,Museum,58,1.5,40.741231,-74.00670099999999
58,Flatiron Building,https://www.tripadvisor.com/Attraction_Review-g60763-d104363-Reviews-Flatiron_Building-New_York_City_New_York.html,4.5,Neighborhoods,59,0.5,40.7410605,-73.9896986
59,United Nations Headquarters,https://www.tripadvisor.com/Attraction_Review-g60763-d108686-Reviews-United_Nations_Headquarters-New_York_City_New_York.html,4.0,Landmark,60,0.5,40.7488758,-73.9680091
60,St. Paul's Chapel,https://www.tripadvisor.com/Attraction_Review-g60763-d105055-Reviews-St_Paul_s_Chapel-New_York_City_New_York.html,4.5,Religious Sites,61,1.0,40.7113281,-74.0091831
61,Battery Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136416-Reviews-Battery_Park-New_York_City_New_York.html,4.0,Parks,62,0.5,40.7032775,-74.0170279
62,Harlem,https://www.tripadvisor.com/Attraction_Review-g60763-d143388-Reviews-Harlem-New_York_City_New_York.html,4.0,Neighborhoods,63,0.5,40.8115504,-73.9464769
63,Neue Galerie,https://www.tripadvisor.com/Attraction_Review-g60763-d258699-Reviews-Neue_Galerie-New_York_City_New_York.html,4.5,Museum,64,0.5,40.781264,-73.9603267
64,Museum of the City of New York,https://www.tripadvisor.com/Attraction_Review-g60763-d116229-Reviews-Museum_of_the_City_of_New_York-New_York_City_New_York.html,4.0,Museum,65,0.5,40.792494,-73.951909
65,Apollo Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d136081-Reviews-Apollo_Theater-New_York_City_New_York.html,4.5,Art,66,0.5,40.810018,-73.95005600000002
66,Cathedral Church of Saint John the Divine,https://www.tripadvisor.com/Attraction_Review-g60763-d136029-Reviews-Cathedral_Church_of_Saint_John_the_Divine-New_York_City_New_York.html,4.5,Religious Sites,67,1.0,40.8038356,-73.9618754
67,Trinity Church,https://www.tripadvisor.com/Attraction_Review-g60763-d105054-Reviews-Trinity_Church-New_York_City_New_York.html,4.5,Religious Sites,68,1.5,40.7080624,-74.0121849
68,Majestic Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548873-Reviews-Majestic_Theatre-New_York_City_New_York.html,4.5,Art,69,0.5,40.7583523,-73.9881953
69,New-York Historical Society Museum & Library,https://www.tripadvisor.com/Attraction_Review-g60763-d136143-Reviews-New_York_Historical_Society_Museum_Library-New_York_City_New_York.html,4.5,Museum,70,1.5,40.7792476,-73.9742792
70,Brookfield Place - BFPL,https://www.tripadvisor.com/Attraction_Review-g60763-d207715-Reviews-Brookfield_Place_BFPL-New_York_City_New_York.html,4.5,Neighborhoods,71,0.5,40.7127168,-74.01528239999999
